2025-10-17|08:01:22|Purchase - Custodian Drone|Alpha Robotics|-500.00
2025-10-17|07:53:28|Deposit - Refueling Contract|Nova Credit Union|5000.00
2025-10-17|05:50:16|Deposit - Cargo Delivery Refund|Celestial Systems|100.00
2025-10-17|05:49:14|Payment - Silver Cops Security|Silver Cops|-200.00
2025-10-17|05:45:45|Deposit - Galactic Express Payment|Nova Credit Union|4000.00
2025-10-16|21:42:32|Payment - Space Mite Extermination|Nova Exterminators Co.|-200.00
2025-10-16|21:39:00|Deposit - Delivery Refund|Lunar Freight|3000.00
2025-10-16|18:59:50|Purchase - Hyper Drive|Andromeda Maintenance Bay|-500.00
2025-10-16|18:56:47|Deposit - Delivery Refund|Nova Credit Union|7765.00
2025-10-16|05:54:08|Deposit - Interstellar Trade Credit|Crimson Convoy|2000.00
2025-10-15|17:25:43|Deposit - Cargo Delivery Refund|Nova Credit Union|500.00
2025-10-15|17:25:16|Deposit - Fleet Rebate|Cosmic Trade Bank|4000.00
2025-10-15|17:21:40|Payment - Asteroid Dust Cleaning Fee|Orbit Wash Service|-1000.00
2025-10-15|17:17:33|Deposit - Rebate Credit|Orion Fleet Co.|350.50
2025-10-04|16:03:29|Purchase - Gravity Stabilizer Fluid|AstroChem Industries|-1290.25
2025-09-28|09:45:08|Deposit - Merchant Account Sync|Celestial Systems|5100.00
2025-09-20|14:57:22|Purchase - Holo-Sign Upgrades|Vega Visuals|-610.00
2025-09-10|12:26:33|Deposit - Station Bonus Payment|Cosmic Trade Bank|4200.00
2025-09-04|21:02:47|Purchase - Maintenance Drones|Alpha Robotics|-2400.00
2025-08-30|06:48:19|Deposit - Rebate Credit|Nova Credit Union|300.00
2025-08-24|13:35:42|Purchase - Starshine Cleaning Fluid|SolarSan Supplies|-90.15
2025-08-19|09:14:28|Deposit - Refueling Fleet|Crimson Convoy|12400.00
2025-08-13|22:59:12|Repair - Intercom System|ZetaTech Services|-350.00
2025-08-07|08:03:07|Deposit - Supply Shipment|Lunar Freight|6700.00
2025-08-01|17:18:32|Purchase - Spare Plasma Filters|Andromeda Mechanics|-210.75
2025-07-18|10:10:15|Deposit - Delivery Refund|Quantum Traders|840.00
2025-07-10|16:22:49|Fuel Purchase - Scout Vessel|Asteroid Outpost|-490.00
2025-07-02|13:45:56|Purchase - Nebula Energy Drinks|Comet Café|-56.40
2025-06-19|11:32:09|Deposit - Refueling Contract|Orion Fleet Co.|23000.00
2025-06-15|18:44:37|Payment - Docking Bay Rental|Starport Authority|-1200.00
2025-06-15|07:01:11|Purchase - Antimatter Spark Plugs|NovaShip Repair|-742.30
2025-06-08|15:27:54|Deposit - Received from Galactic Express|Galactic Express|15000.00
2025-06-04|09:12:28|Refill - CryoCoolant Tanks|Andromeda Logistics|-2140.50
2025-06-04|08:43:10|Fuel Purchase - Class 7 Freighter|NebulaFuel Depot|-8950.75
2025-05-30|13:22:41|Top-Off - Quantum Fuel|Nebula Refuel Depot|-64.22
2025-05-14|11:35:24|Purchase - Antimatter Coolant|StarCore Mechanics|-228.55
2025-04-29|20:53:02|Cleaning Fee - Asteroid Dust|Orbit Wash Services|-15.00
2025-04-06|10:27:19|Calibration - Hyperdrive|Andromeda Maintenance Bay|-340.75
2025-03-11|16:58:30|Refill - Ion Gas Tanks|NovaFuel Station|-87.90
2025-02-18|07:42:55|Restock - Oxygen Tanks|Cosmo Supplies Co|-154.65
2024-12-14|14:03:22|Purchase - Comet Shine Cleaner|Meteor Mart|-12.49
2024-11-08|18:47:56|Fee - Annual Navigation Software|GalacticSoft Corp|-499.00
2024-10-05|09:32:17|Repair - Damaged Hull Panel|SolarShip Repairs|-780.25
